Inclui transações da Amazon Marketplace; Fulfillment by Amazon (FBA); e Amazon Webstore;;;;;;;;;;;;;;;;;;;;
Todas as quantias em BRL; a menos que especificado;;;;;;;;;;;;;;;;;;;;;
Definições:;;;;;;;;;;;;;;;;;;;;;;
Imposto de vendas coletados: Inclui impostos sobre vendas coletados de compradores para vendas de produtos; envio e embalagem para presente.;;;;;;;;;;;;;;;;;;;;;
Tarifas de venda: Inclui tarifas de fechamento variável e tarifas de referência.;;;;;;;;;;;;;;;;;;;;;;
Outras taxas de transação: Inclui cobranças retroativas de envio; retenção de envi; taxas por item e taxas de coleta de impostos de vendas.;;;;;;;;;;;;;;;;;;;;
Outros: Inclui quantias de transação não relacionadas a pedidos. Para obter mais detalhes;" consulte as colunas ""Tipo"" e ""Descrição"" para cada ID de pedido.";;;;;;;;;;;;;;;;;;;;;
data/hora;id de liquidação;tipo;id do pedido;sku;descrição;quantidade;mercado;tipo de conta;atendimento;cidade do pedido;estado do pedido;postal do pedido;vendas do produto;créditos de remessa;créditos de embalagem de presente;descontos promocionais;imposto de vendas coletados;tarifas de venda;taxas fba;taxas de outras transações;outro;total
1 de jan. de 2026 18:08:51 GMT-8;25296870171;Pedido;701-2186660-0587442;Prod 1085;O Talão de Cheques do Banco da Fé: Para saques diários das ricas promessas de Deus;1;amazon.com.br;Visa Crédito;Vendedor;São Paulo;SP;5690;49,9;0;0;0;0;-7,49;0;0;0;42,41
2 de jan. de 2026 03:19:46 GMT-8;25242028381;Pedido;702-3786807-9974631;9,78655E+12;Meditações em Provérbios: Sabedoria Para uma Vida Teocêntrica (Volume 2);1;amazon.com.br;Boleto;Vendedor;Parauapebas;PA;68515;89,9;0;0;0;0;-13,49;0;0;0;76,41
2 de jan. de 2026 09:51:19 GMT-8;25241916271;Serviços de Envio;701-6805235-8729067;;Tarifa de manuseio com base no peso Delivery by Amazon;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;-6,75;0;-6,75
2 de jan. de 2026 09:51:19 GMT-8;25241916271;Serviços de Envio;701-6805235-8729067;;Estorno do frete pago pelo comprador;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;0;0;0
2 de jan. de 2026 09:51:20 GMT-8;25241916271;Serviços de Envio;701-1270663-6101054;;Tarifa de manuseio com base no peso Delivery by Amazon;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;-6,75;0;-6,75
2 de jan. de 2026 09:51:20 GMT-8;25241916271;Serviços de Envio;701-1270663-6101054;;Estorno do frete pago pelo comprador;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;0;0;0
2 de jan. de 2026 09:51:21 GMT-8;25241916271;Serviços de Envio;701-8753023-6256204;;Tarifa de manuseio com base no peso Delivery by Amazon;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;-6,75;0;-6,75
2 de jan. de 2026 09:51:21 GMT-8;25241916271;Serviços de Envio;701-8753023-6256204;;Estorno do frete pago pelo comprador;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;-21,35;0;-21,35
2 de jan. de 2026 09:51:25 GMT-8;25241916271;Serviços de Envio;701-0040399-3840249;;Tarifa de manuseio com base no peso Delivery by Amazon;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;-13,45;0;-13,45
2 de jan. de 2026 09:51:25 GMT-8;25241916271;Serviços de Envio;701-0040399-3840249;;Estorno do frete pago pelo comprador;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;0;0;0
2 de jan. de 2026 09:51:31 GMT-8;25241916271;Serviços de Envio;701-1538902-8718611;;Tarifa de manuseio com base no peso Delivery by Amazon;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;-15,7;0;-15,7
2 de jan. de 2026 09:51:31 GMT-8;25241916271;Serviços de Envio;701-1538902-8718611;;Estorno do frete pago pelo comprador;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;0;0;0
2 de jan. de 2026 09:51:31 GMT-8;25241916271;Serviços de Envio;702-5761575-3164214;;Tarifa de manuseio com base no peso Delivery by Amazon;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;-15,7;0;-15,7
2 de jan. de 2026 09:51:31 GMT-8;25241916271;Serviços de Envio;702-5761575-3164214;;Estorno do frete pago pelo comprador;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;0;0;0
2 de jan. de 2026 09:51:32 GMT-8;25241916271;Serviços de Envio;702-6828466-0597827;;Tarifa de manuseio com base no peso Delivery by Amazon;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;-26,9;0;-26,9
2 de jan. de 2026 09:51:32 GMT-8;25241916271;Serviços de Envio;702-6828466-0597827;;Estorno do frete pago pelo comprador;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;0;0;0
2 de jan. de 2026 09:51:38 GMT-8;25241916271;Serviços de Envio;701-6241002-0846616;;Tarifa de manuseio com base no peso Delivery by Amazon;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;-13,45;0;-13,45
2 de jan. de 2026 09:51:38 GMT-8;25241916271;Serviços de Envio;701-6241002-0846616;;Estorno do frete pago pelo comprador;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;0;0;0
2 de jan. de 2026 09:52:07 GMT-8;25241916271;Serviços de Envio;701-5374471-4136267;;Tarifa de manuseio com base no peso Delivery by Amazon;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;-13,45;0;-13,45
2 de jan. de 2026 09:52:07 GMT-8;25241916271;Serviços de Envio;701-5374471-4136267;;Estorno do frete pago pelo comprador;;Amazon.com.br;Crédito Mastercard e outros;Vendedor;;;;0;0;0;0;0;0;0;0;0;0
3 de jan. de 2026 02:26:10 GMT-8;25241916271;Pedido;701-3391971-8790610;698923;Orando as promessas de Deus: Uma promessa de Deus para cada dia do ano;1;amazon.com.br;Crédito Mastercard e outros;Vendedor;São Luís;MA;65071;51,9;21,35;0;0;0;-7,79;0;0;0;65,46
